"ORIGFDCD","ORIGFDNM","ENGFDNAM","ORIGGPCD","SCINAM"
6253.00,"Steak haché 10% MG, cuit","Beef, ground, 10% fat, cooked","09",
6254.00,"Steak haché 15% MG, cru","Beef, ground, 15% fat, raw","09",
6255.00,"Steak haché 15% MG, cuit","Beef, ground, 15% fat, cooked","09",
6256.00,"Steak haché 20% MG, cru","Beef, ground, 20% fat, raw","09",
6257.00,"Steak haché 20% MG, cuit","Beef, ground, 20% fat, cooked","09",
6510.00,"Veau, côte, crue","Veal chop, raw","09",
6520.00,"Veau, escalope, cuite","Veal cutlet, cooked","09",
6531.00,"Veau, filet, rôti","Veal fillet, roasted","09",
6540.00,"Veau, poitrine, crue","Veal breast, raw","09",
6550.00,"Veau, rôti","Veal round, roasted","09",
6560.00,"Veau, épaule, crue","Veal chuck, raw","09",
6570.00,"Veau, mijoté","Veal, braised or stewed","09",
6590.00,"Veau, collier, cru","Veal, neck, raw","09",
6902.00,"Cheval, viande, rôtie","Horse meat, roasted","09",
7001.00,"Pain, baguette, courante","Bread, French 250 g baguette","02.1",
7012.00,"Pain courant français, 400g ou boule","Bread, French 400 g loaf, from bakery","02.1",
7100.00,"Pain, baguette ou boule, de campagne","Bread, French, country style, from bakery","02.1",
7110.00,"Pain complet ou intégral (à la farine T150)","Bread, wholemeal, from bakery","02.1",
7111.00,"Pain de mie, complet","Bread, sandwich loaf, wholemeal","02.1",
7125.00,"Pain de seigle, et froment","Bread, rye + wheat, from bakery","02.1",
7126.00,"Pain de seigle, aux raisins","Rye bun with raisins, from bakery","02.1",
7160.00,"Pain, baguette, sans sel","Bread, French 250 g baguette, without salt","02.1",
7200.00,"Pain de mie, courant","Bread, sandwich loaf","02.1",
7225.00,"Pain brioché ou viennois","Vienna bread, from bakery","02.4",
7255.00,"Pain, baguette ou boule, aux céréales et graines, artisanal","Bread, mixed cereal, from bakery","02.1",
7300.00,"Biscotte classique","Rusk, plain","02.3",
7310.00,"Biscotte sans adjonction de sel","Rusk, unsalted","02.3",
7330.00,"Biscotte multicéréale","Rusk, mixed cereal","02.3",
7340.00,"Biscotte complète ou riche en fibres","Rusk, wholemeal","02.3",
7400.00,"Pain grillé, tranches, au froment","Bread, plain, toasted, commercial","02.3",
7425.00,"Pain grillé, tranches, multicéréale","Bread, multigrain, toasted, commercial","02.3",
7430.00,"Croûtons","Croutons","02.3",
7500.00,"Chapelure","Breadcrumbs, commercial","02.3",
7525.00,"Gressins","Bread stick","02.3",
7601.00,"Croissant ordinaire ou au beurre","Croissant, ordinary or butter","02.4",
7615.00,"Croissant ordinaire, artisanal","Croissant, ordinary, from bakery","02.4",
7620.00,"Croissant au beurre, artisanal","Croissant, butter, from bakery","02.4",
7650.00,"Croissant aux amandes, artisanal","Croissant with almonds, from bakery","02.4",
7710.00,"Pain au lait, artisanal","Milkbread roll, from bakery","02.4",
7711.00,"Pain au lait, préemballé","Milkbread roll, commercial","02.1",
7720.00,"Pain aux raisins (viennoiserie)","Raisin bun, from bakery","02.4",
7740.00,"Brioche, préemballée","Brioche, commercial","02.4",
7741.00,"Brioche, sans précision","Brioche","02.4",
7812.00,"Fougasse, garnie","Fougasse","02.4",
8000.00,"Rillettes traditionnelles de porc","Rillettes, pork, traditional","12",
8001.00,"Rillettes pur porc","Rillettes, pork, traditional","12",
8055.00,"Rillettes de viandes autres que pur porc (volaille...)","Rillettes","12",
8081.00,"Rillettes de saumon","Rillettes, salmon","13.2",
8082.00,"Rillettes de thon","Rillettes, tuna","13.2",
8110.00,"Confit de canard","Duck confit (conserved in rendered fat)","12",
8211.00,"Pâté de campagne","Pâté, country style","12",
8232.00,"Terrine de canard","Pâté, duck","12",
8240.00,"Pâté de lapin","Pâté, rabbit","12",
9436.00,"Farine de blé tendre ou froment T55 (pour pains)","Wheat flour, white, all purpose","01.1",
9533.00,"Farine de seigle T130","Rye flour","01.1",
9540.00,"Farine de sarrasin","Buckwheat flour","01.1",
9615.00,"Polenta ou semoule de maïs, cuite","Polenta, cooked","01.3",
9660.00,"Germe de blé","Wheat germ, raw","31",
9811.00,"Pâtes alimentaires cuites","Pasta, boiled","01.3",
9822.00,"Pâtes alimentaires aux oeufs, cuites","Pasta, egg, boiled","01.3",
9870.00,"Pâtes alimentaires au blé complet, crues","Pasta, wholewheat, dry","01.3",
9871.00,"Pâtes alimentaires au blé complet, cuites","Pasta, whole-wheat, cooked","01.3",
10000.00,"Bigorneau, cuit","Periwinkle, boiled","14.1",
10001.00,"Calmar ou calamar ou encornet, cru","Squid, raw","14.1","Loligo vulgaris"
10005.00,"Crabe, appertisé","Crab, canned","14.2",
10007.00,"Crevette, cuite","Shrimp or prawn, boiled","14.1",
10009.00,"Homard, cuit à l'eau","Lobster, boiled","14.1",
10012.00,"Langoustine, panée, frite","Scampi, fried","14.2",
10013.00,"Moule, cuite à l'eau","Mussel, boiled","14.1","Mytilus edulis"
10018.00,"Poulpe, cru","Octopus, common, raw","14.1","Octopus vulgaris"
10020.00,"Bulot ou Buccin, cuit","Whelk, cooked, moist heat","14.1","Buccinum undatum"
10022.00,"Langouste, cuite à l'eau","Spiny lobster, cooked, moist heat","14.1",
10023.00,"Beignet de crevette","Shrimp fritters","25.2",
10030.00,"Écrevisse, crue","Crayfish, raw","14.1",
10035.00,"Huître creuse, crue","Pacific oyster, raw","14.1","Crassostrea gigas"
11000.00,"Ail frais","Garlic, raw","28.3",
11002.00,"Cerfeuil, frais","Chervil, raw","28.3",
11003.00,"Ciboule ou Ciboulette, fraîche","Chive or Spring onion, raw","28.3",
11004.00,"Cornichon, au vinaigre","Gherkin pickle","28.4",
11006.00,"Gingembre, moulu","Ginger, ground","28.3",
11008.00,"Ketchup","Ketchup","28.4",
11009.00,"Levure alimentaire","Nutritional yeast","31","Saccharomyces cerevisiae"
11012.00,"Mayonnaise allégée en matière grasse","Mayonnaise, low fat","28.4",
11015.00,"Poivre noir, moulu","Pepper, black, ground","28.3",
11016.00,"Raifort, cru","Horseradish, raw","28.3",
11017.00,"Sel blanc alimentaire, non iodé, non fluoré (marin, ignigène ou gemme)","Salt, white, for human consumption, no enrichment","28.3",
11025.00,"Cannelle","Cinnamon","28.3",
11026.00,"Coriandre, graine","Coriander seed","28.3",
11027.00,"Menthe, fraîche","Mint, fresh","28.3",
11031.00,"Mayonnaise à l'huile de tournesol","Mayonnaise, sunflowerseed oil","28.4",
11038.00,"Thym, sec","Thyme, dried","28.3","Thymus vulgaris"
11040.00,"Câpres","Capers, pickled","28.4",
11041.00,"Bouillon de légumes, déshydraté","Bouillon, vegetable, dehydrated","27.9",
11042.00,"Cumin, graine","Cumin seed","28.3","Cuminum cyminum"
11043.00,"Tapenade","Olive paste","28.4",
13039.00,"Pomme, fraîche, pulpe et peau","Apple, with skin, raw","18.1","Malus communis"
13041.00,"Prune Reine-Claude, fraîche","Greengage plum, raw","18.1",
13042.00,"Pruneau","Prune","18.2",
13043.00,"Pêche, fraîche, pulpe et peau","Peach, flesh and skin, raw","18.1","Prunus persica"
13044.00,"Raisin blanc, frais","Grape, white, raw","18.1",
13046.00,"Raisin sec","Raisin","18.2","Vitis vinifera L"
13048.00,"Rhubarbe, cuite, sucrée","Rhubarb, stewed, sweetened","18.3",
13049.00,"Macédoine de fruits au sirop, appertisée","Fruit cocktail, canned","18.3",
13051.00,"Mélange apéritif de fruits exotiques séchés","Tropical fruit mix, dried, sweetened, for snack","18.2",
13054.00,"Carambole, frais, pulpe","Carambola, pulp, raw","18.1","Averrhoa carambola L."
13063.00,"Figue de Barbarie, pulpe et graines","Prickly pear, pulp and seeds, raw","18.1","Opuntia ficus-indica (L.) Mill."
13066.00,"Kaki, frais, pulpe","Japanese persimmon, pulp, raw","18.1","Diospyros kaki L. f."
13068.00,"Cerise au sirop, appertisée","Cherry, canned","18.3",
13071.00,"Mûre noire (du mûrier), fraîche","Black mulberry, raw","18.1","Morus nigra L."
13084.00,"Pêche, fraîche, pulpe","Peach, peeled, raw","18.1",
13095.00,"Pomélo (dit Pamplemousse), au sirop","Grapefruit, canned, sweetened","18.3",
13097.00,"Pêche, au sirop, appertisée","Peach, canned, sweetened","18.3",
13098.00,"Poire au sirop, appertisée","Pear, canned, sweetened","18.3",
13108.00,"Compote de fruits divers","Stewed fruits","18.3",
13134.00,"Salade de fruits frais","Fresh fruit salad","18.1",
13564.00,"Nèfle du Japon, fraîche, pulpe","Loquat, pulp, raw","18.1","Eriobotrya japonica (Thunb.) Lindl."
11100.00,"Sauce barbecue","Sauce, barbecue","28.4",
11101.00,"Sauce béchamel","White sauce","28.4",
11102.00,"Sauce béarnaise","Sauce, bearnaise","28.4",
11104.00,"Sauce de soja","Soy sauce","28.4",
11105.00,"Sauce hollandaise","Sauce, hollandaise","28.4",
11106.00,"Sauce Mornay","Sauce, mornay","28.4",
11107.00,"Sauce tomate, sans viande","Tomato sauce, without meat","28.4",
11108.00,"Sauce vinaigrette à l'huile d'olive (50 à 75% d'huile)","Salad dressing, olive oil & vinegar","28.4",
11109.00,"Sauce vinaigrette allégée en MG (25 à 50% d'huile)","Salad dressing, oil & vinegar, low fat","28.4",
11110.00,"Sauce vinaigrette (50 à 75% d'huile)","Salad dressing, oil & vinegar","28.4",
11114.00,"Sauce tomate, à la viande","Tomato sauce, with meat","28.4",
11132.00,"Sauce au curry","Sauce, curry","28.4",
12001.00,"Camembert environ 20% MG","Camembert 45% fidm, 20% fat","06.1",
12002.00,"Camembert et apparentés environ 26% MG","Camembert and similar cheese 50% fidm, 26% fat","06.1",
28204.00,"Porc, filet mignon, cru","Pork filet mignon, raw","09",
12008.00,"Fromage à pâte molle double crème","Camembert-type cheese, 60-75% fidm","06.1",
12009.00,"Fromage type camembert environ 10% MG","Camembert-type cheese 20-30% fidm, 10% fat","06.1",
12010.00,"Coulommiers","Coulommiers cheese","06.1",
12020.00,"Brie","Brie cheese","06.1",
12028.00,"Chaource","Chaource cheese","06.1",
12033.00,"Fromage à pâte molle triple crème","Camembert-type cheese, 75% fidm","06.1",
12036.00,"Maroilles","Maroilles cheese","06.1",
12037.00,"Livarot","Livarot cheese","06.1",
12039.00,"Munster","Munster cheese","06.1",
12040.00,"Langres","Langres cheese","06.1",
12042.00,"Pont l'Évêque","Pont l'Evêque cheese","06.1",
12049.00,"Saint-Marcellin","Saint-Marcellin cheese","06.1",
12051.00,"Vacherin Mont d'Or","Vacherin cheese","06.1",
12060.00,"Fromage type Feta, au lait de vache","Feta-type cheese from cow milk","06.9",
12061.00,"Feta de brebis","Feta from ewe milk","06.9",
12100.00,"Fromage à pâte pressée cuite (aliment moyen)","Hard cheese (average)","AM",
12105.00,"Beaufort","Beaufort cheese","06.6",
12114.00,"Gruyère","Gruyere cheese","06.6",
12115.00,"Emmental","Emmental cheese","06.6",
12116.00,"Fromâge à pate pressée cuite type Emmental, allégé","Emmental cheese, low fat","06.6",
12118.00,"Emmental râpé","Emmental cheese, grated","06.6",
12120.00,"Parmesan","Parmesan cheese","06.6",
12305.00,"Fromage fondu en portions ou en cubes environ 15% MG","Processed cheese 25% fidm, 15% fat","06.8",
12315.00,"Spécialité fromagère non affinée environ 23% MG","Uncured cheese product 60-65% fidm, 23% fat","06.9",
12320.00,"Spécialité fromagère non affinée double crème environ 31% MG","Uncured cheese product 70% fidm, 31% fat","06.9",
12500.00,"Roquefort","Roquefort ewe cheese","06.3",
12521.00,"Fromage bleu d'Auvergne","Auvergne blue cheese","06.3",
12522.00,"Fourme d'Ambert","Fourme d'Ambert cheese","06.3",
12524.00,"Gorgonzola","Gorgonzola cheese","06.3",
12527.00,"Fromage bleu de Bresse","Bresse blue cheese","06.3",
12705.00,"Fromage à pâte ferme environ environ 14% MG","Semi-hard cheese 20-30% fidm, 14% fat","06.5",
12720.00,"Fromage à pâte ferme, enrobé de cire","Firm cheese in wax casing","06.5",
12726.00,"Cheddar","Cheddar cheese","06.5",
12729.00,"Edam","Edam cheese","06.5",
12743.00,"Morbier","Morbier cheese","06.5",
12747.00,"Fromage des Pyrénées au lait de brebis","Pyrenees cheese from ewe's milk","06.5",
12749.00,"Raclette (fromage)","Raclette cheese","06.5",
12752.00,"Saint-Nectaire","Saint-Nectaire cheese","06.5",
12754.00,"Port-Salut","Port-Salut cheese","06.5",
12755.00,"Saint-Paulin","Saint-Paulin cheese","06.5",
12758.00,"Tomme","Tomme cheese","06.5",
12759.00,"Tomme de montagne ou Tomme de Savoie","Tomme mountain cheese","06.5",
12812.00,"Fromage de chèvre bûche, au lait pasteurisé ou cru","Goat cheese, log, from raw or pasteurised milk","06.1",
12819.00,"Fromage de chèvre à tartiner, nature","Goat cheese spread, plain","06.9",
12820.00,"Fromage de chèvre type ""camembert"" (chèvre-boîte ou brique), au lait pasteurisé ou cru","Goat cheese, camembert-type, average","06.1",
12834.00,"Crottin de chavignol","Crottin-de-Chavignol cheese","06.1",
12836.00,"Picodon","Picodon goat cheese","06.1",
12848.00,"Valençay","Valençay goat cheese","06.1",
12999.00,"Fromage (aliment moyen)","Cheese (average)","AM",
13000.00,"Abricot, frais","Apricot, raw","18.1","Prunus armeniaca"
13001.00,"Abricot, séché, dénoyauté","Apricot, dry","18.2","Prunus armeniaca L."
13002.00,"Ananas, frais, pulpe","Pineapple, pulp, raw","18.1","Ananas comosus (L.) Merr."
13003.00,"Ananas au sirop, appertisé","Pineapple, canned","18.3","Ananas comosus (L.) Merr."
13004.00,"Avocat, frais, pulpe","Avocado, pulp, raw","15","Persea americana Mill."
13005.00,"Banane, fraîche, pulpe","Banana, pulp, raw","18.1","Musa spp."
13006.00,"Banane, mi-séchée","Banana, semi dry","18.2","Musa spp."
13007.00,"Cassis, frais","Black currant, raw","18.1",
13009.00,"Citron, frais, pulpe","Lemon, pulp, raw","18.1","Citrus limon (L.)Burm.f."
13010.00,"Coing, frais","Quince, raw","18.1","Cydonia vulgaris"
13011.00,"Datte, séchée, pulpe et peau","Date, pulp and skin, dried","18.2","Phoenix dactylifera L."
13012.00,"Figue, fraîche","Fig, fresh","18.1","Ficus carica L."
13013.00,"Figue, séchée","Fig, dried","18.2","Ficus carica L."
13014.00,"Fraise, fraîche","Strawberry, raw","18.1",
13015.00,"Framboise, fraîche","Raspberry, raw","18.1",
13016.00,"Fruit de la passion, frais, pulpe et pépins","Passion fruit, pulp and pips, raw","18.1","Passiflora edulis Sims.var.edulis"
13017.00,"Goyave, appertisée","Guava, canned","18.3","Psidium guajava L."
13018.00,"Grenade, fraîche, pulpe et pépins","Pomegranate, pulp and pips, raw","18.1","Punica granatum L."
13019.00,"Groseille, fraîche","Red currant, raw","18.1",
13020.00,"Groseille à maquereau, fraîche","Gooseberry, raw","18.1",
13021.00,"Kiwi, frais, pulpe et graines","Kiwi fruit, pulp and seeds, raw","18.1","Actinidia sinensis Planch."
13022.00,"Litchi, dénoyauté, appertisé","Lychee, canned","18.3","Litchi chinensis Sonn."
13023.00,"Litchi, frais, pulpe","Lychee, pulp, raw","18.1","Litchi chinensis Sonn."
13027.00,"Mirabelle, fraîche","Mirabelle plum, raw","18.1","Prunus insititia var syriaca"
13029.00,"Mûre (de ronce), fraîche","Blackberry, raw","18.1","Rugus spp."
13030.00,"Nectarine, fraîche, pulpe et peau","Nectarine, flesh and skin, raw","18.1",
13033.00,"Olive verte, entière ou dénoyautée, en saumure","Olive, green, in brine","28.4",
13034.00,"Orange, fraîche, pulpe","Orange, sweet, pulp, raw","18.1","Citrus sinensis (L.) Osb."
13035.00,"Papaye, fraîche, pulpe","Papaya, pulp, raw","18.1","Carica papaya L."
13036.00,"Pastèque, fraîche, pulpe","Watermelon, pulp, raw","18.1","Citrullus lanatus (Thunb.) Matsum"
13037.00,"Poire, fraîche, pulpe et peau","Pear, flesh and skin, raw","18.1","Pyrus communis"
13038.00,"Compote de pomme","Applesauce, sweetened","18.3",
8704.00,"Boudin noir, poêlé","Black pudding (blood sausage), cooked","12",
8800.00,"Boudin blanc, poêlé","White saussage (white pudding), cooked","12",
8913.00,"Quenelle de volaille, appertisée","Quenelle, poultry, canned","12",
8934.00,"Quenelle de poisson, cuite","Quenelle, fish, cooked","25.2",
8935.00,"Quenelle au naturel, appertisée","Quenelle, in bouillon, canned","12",
8936.00,"Quenelle en sauce, appertisée","Quenelle, in sauce, canned","12",
9102.00,"Riz complet, sec","Rice, brown, dry","01.2",
9103.00,"Riz complet, cuit","Rice, brown, boiled","01.2",
9104.00,"Riz blanc, cuit","Rice, white, boiled","01.2",
9105.00,"Riz blanc étuvé, cuit","Rice, parboiled, boiled","01.2",
9108.00,"Riz sauvage, sec","Wild rice, dry","01.2",
9109.00,"Riz rouge, sec","Rice, red, dry","01.2",
9110.00,"Riz rouge, cuit","Rice, red, boiled","01.2",
9230.00,"Pop-corn ou Maïs éclaté, à l'huile, salé","Popcorn, oil-popped, salted","03.3",
9231.00,"Pop-corn ou Maïs éclaté, à l'air, non salé","Popcorn, air-popped, no salt","03.3",
9313.00,"Flocons d'avoine, cuits à l'eau","Oats porridge, made with water","04",
9410.00,"Farine de blé tendre ou froment T110","Wheat flour, wholemeal type 110","01.1",
19021.00,"Lait en poudre, entier","Milk, whole, dried","05.1",
19023.00,"Lait entier, UHT","Milk, whole, UHT pasteurized","05.1",
19024.00,"Lait entier, pasteurisé","Milk, whole, pasteurized","05.1",
19026.00,"Lait concentré non sucré, entier","Milk, evaporated, whole","05.1",
19027.00,"Lait concentré sucré, entier","Milk, condensed, sweetened, whole","05.1",
19041.00,"Lait demi-écrémé, UHT","Milk, semi-skimmed, UHT pasteurized","05.1",
19042.00,"Lait demi-écrémé, pasteurisé","Milk, semi-skimmed, pasteurized","05.1",
19044.00,"Lait en poudre, demi-écrémé","Milk, semi-skimmed, dried","05.1",
19050.00,"Lait écrémé, UHT","Milk, skimmed, UHT pasteurized","05.1",
19051.00,"Lait écrémé, pasteurisé","Milk, skimmed, pasteurized","05.1",
19054.00,"Lait en poudre, écrémé","Milk, skimmed, dried","05.1",
19110.00,"Lait partiellement écrémé, aromatisé, UHT","Milk, semi-skimmed, flavored","05.1",
19122.00,"Boisson lactée aromatisée au chocolat, au lait partiellement écrémé, enrichie et/ou restaurée en vitamines et/ou minéraux","Milk drink, partially skimmed, chocolate flavored","05.1",
19127.00,"Boisson lactée aromatisée à la fraise, au lait partiellement écrémé","Milk, semi-skimmed, strawberry flavored","05.1",
19200.00,"Lait de chèvre, entier, UHT","Goat milk, whole, UHT pasteurized","05.1",
19250.00,"Lait de brebis, entier","Sheep milk, whole","05.1",
19401.00,"Crème de lait >= 30% MG, fluide, rayon frais","Cream, fluid, 30% fat, pasteurised","05.3",
19410.00,"Crème fraîche >= 30% MG, épaisse, rayon frais","Creme fraiche, 30% fat, pasteurised","05.3",
19420.00,"Crème chantilly sous pression, UHT","Whipped cream, sweetened, vanilla-flavoured, presure, UHT pasteurized","05.7",
19430.00,"Crème de lait légère 15 à 20% MG, fluide, UHT","Cream, fluid, 15-20% fat, UHT pasteurized","05.3",
19431.00,"Crème fraîche légère 15 à 20% MG, épaisse, rayon frais","Creme fraiche, 15-20% fat, pasteurised","05.3",
19505.00,"Fromage blanc battu 0% MG nature","Quark 0% fidm, plain","05.5",
19506.00,"Fromage blanc campagne 0% MG nature","Cottage cheese 0% fat","05.5",
19510.00,"Fromage blanc battu au lait demi-écrémé nature","Quark 20% fidm, made of half-skimmed-milk","05.5",
19518.00,"Fromage blanc battu 0% MG aux fruits, allégé en sucre, édulcoré","Quark 0% fidm, fruits and aspartame","05.5",
19519.00,"Spécialité laitière ou yaourt au lait entier, avec crème, nature","Yoghurt, wholemilk, with cream, plain","05.4",
19521.00,"Fromage blanc campagne au lait entier nature","Cottage cheese 40% fidm, made of whole milk","05.5",
19524.00,"Spécialité fromagère non affinée à tartiner environ 13% MG","Uncured cheese spread 40% fidm, salted, 13% fat","06.9",
19525.00,"Spécialité fromagère non affinée à tartiner environ 42% MG nature","Uncured cheese spread 60% fidm, salted, 42% fat","06.9",
19565.00,"Petit-suisse au lait entier, nature","Petit-Suisse 40% fidm, plain, made of whole milk","05.5",
19566.00,"Fromage frais type petit suisse au lait partiellement écrémé, aux fruits, sucré","Petit-Suisse type cheese 30-40% fidm, fruit, children's, made of partially skimmed milk","05.5",
19569.00,"Fromage frais type petit suisse, au lait écrémé ou partiellement écrémé, aux fruits, sucré","Petit-Suisse type cheese 20% fidm, fruit","05.5",
19572.00,"Fromage frais type petit suisse au lait demi-écrémé, aromatisé (ex: vanille), sucré","Petit-Suisse type cheese 20% fidm, flavoured, made of half-skimmed milk","05.5",
19585.00,"Ricotta","Ricotta cheese","06.9",
19590.00,"Mozzarella","Mozzarella cheese","06.9",
19600.00,"Yaourt ou spécialité laitière nature (aliment moyen)","Yoghurt, plain (average)","AM",
19601.00,"Yaourt au lait entier, nature","Yoghurt, wholemilk, plain","05.4",
19602.00,"Yaourt au lait entier, nature, brassé","Yoghurt, wholemilk, Bulgarian-style, plain","05.4",
19605.00,"Yaourt au lait partiellement écrémé, nature","Yoghurt, lowfat, plain","05.4",
19609.00,"Yaourt au lait partiellement ou demi-écrémé, nature, sucré","Yoghurt, lowfat, sweetened","05.4",
19611.00,"Yaourt au lait entier, aromatisé, sucré","Yoghurt, wholemilk, flavoured, sweetened","05.4",
19615.00,"Lait fermenté au lait entier au bifidus, aromatisé, sucré","Fermented milk, wholemilk, Bifidus, flavoured, sweetened","05.4",
19617.00,"Yaourt au lait entier, nature, sucré","Yoghurt, wholemilk, sweetened","05.4",
19619.00,"Lait fermenté à boire au lait demi-écrémé et au L. casei et/ou au L. acidophilus, nature","Drinking yoghurt with L. Casei, lowfat, plain","05.4",
19621.00,"Yaourt ou lait fermenté au bifidus, au lait entier, aux céréales et/ou muesli","Yoghurt, wholemilk, with cereals","05.4",
19640.00,"Yaourt au lait partiellement écrémé, aromatisé, sucré","Yoghurt, lowfat, flavoured, sweetened","05.4",
19670.00,"Spécialité laitière ou yaourt 0%, aromatisée, sucrée","Yoghurt, nonfat, flavoured, sweetened","05.4",
19700.00,"Yaourt au lait entier, aux fruits, sucré","Yoghurt, wholemilk, with fruit","05.4",
